Date,Actual,Predicted,High,Low
2021-03-05,14.15228753723204,14.37522311840785,15.421335105356532,13.45833303785217
2021-03-08,13.793856913223864,14.475529792139053,14.818788810572205,13.6035793068164
2021-03-09,13.527760634198785,14.219908580896886,14.01419243204067,13.206557210053123
2021-03-10,13.490582190454006,13.661055505920135,14.169721516940076,13.2017212533246
2021-03-11,14.341487802565098,13.301914050934348,14.488191055520083,13.526982201538353
2021-03-12,14.324657537043096,13.107280326269676,14.599466938024872,13.81673021971778
2021-03-15,14.87709365040064,12.91514313363037,15.175650884640191,14.1561517506446
2021-03-16,14.350942768156528,13.013644987915999,15.115268284789684,14.054324181985828
2021-03-17,14.576152987778189,13.175475868610986,14.826408389895136,13.862079359969533
2021-03-18,14.068282775580885,13.311771691402983,14.838074312796468,13.84117879201602
2021-03-19,14.646933652460577,13.324085207172486,14.942926048412648,13.722658033480354
2021-03-22,14.409521901980042,13.334785784668632,15.145949887240276,14.152275851021134
2021-03-23,13.19588392227888,13.364670085424947,14.192860110318428,12.931776498659108
2021-03-24,12.316302068531511,13.075021592565346,13.148120412657835,12.213234046730612
2021-03-25,12.695755369961262,12.96994862968667,13.062635506075022,12.097210203690745
2021-03-26,12.843287654221058,12.613402844864197,13.338372884233875,12.474358528831791
2021-03-29,12.646295523270965,12.352524277459027,13.158258399229682,12.358103355216484
2021-03-30,13.008399298414588,12.02893716838973,13.202818025237626,12.182275090380124
2021-03-31,13.290397053584456,11.933958383450594,13.529669282051364,12.792977114699973
2021-04-01,13.270020401105285,11.94684951544441,13.693688897134386,13.008934904246573
2021-04-02,17.338016510009766,12.108402338436486,17.7987804385052,16.921144377960044
2021-04-05,19.31821362177531,13.168102078730128,20.07080139587545,18.834071808190963
2021-04-06,13.249177804216744,13.839528771852178,13.57504645032413,13.029493504446227
2021-04-07,13.194843938574197,13.353347723573924,13.675043134414214,12.888765661466772
2021-04-08,13.53097987920046,14.515594478723097,13.739583168020712,13.02919608982515
2021-04-09,13.539367623627186,14.079831369497589,13.803511150983894,13.228985253958376
2021-04-12,13.027200601994991,13.140048371052655,13.654249272454258,12.901710300395903
2021-04-13,12.704496240243316,12.307167310751511,13.071039601834077,12.516467050207396
2021-04-14,12.828369056805968,12.233334816589158,13.107264253414051,12.616078499256428
2021-04-15,12.51680508814752,12.243811490089035,13.125003217462138,12.202348790868651
2021-04-16,12.326374342665076,12.071221958324298,12.571128793099858,12.10554033152495
2021-04-19,12.26817087084055,11.859519228907587,12.550020580873625,11.792547817202172
2021-04-20,12.166828418150544,11.769880188292204,12.656732444154462,11.778777576214182
2021-04-21,12.420109994709492,11.678423069908366,12.577996701036028,11.884859833755677
2021-04-22,12.322178326547146,11.546848650959245,12.652845165427236,12.016614973044137
2021-04-23,12.436949824914336,11.491008898744735,12.683612130918313,12.02772526639685
2021-04-26,12.69507852755487,11.536264919830002,12.97987999704453,12.303681203702425
2021-04-27,12.676388001069428,11.601687413302809,12.908308282609262,12.389663351613551
2021-04-28,12.814188634976745,11.610849939915115,12.937302261676972,12.41831210510096
2021-04-29,12.704127438366411,11.709294606956407,12.95609578807829,12.3454902357239
2021-04-30,12.532801829278467,11.786494768968923,12.867459251480865,12.339207300859776
2021-05-03,10.9288194651405,11.767958591506138,11.19208686982846,10.668725934055084
2021-05-04,11.147833791871866,11.343067055401704,11.259391828435158,10.675288802159251
2021-05-05,11.166655865808329,11.330241540528991,11.537520835493888,10.958871510552129
2021-05-06,12.602426905184984,11.018374790443547,13.00998722157416,12.186137892868464
2021-05-07,12.737161671742795,11.04334669943387,13.2319762641978,12.265217421843625
2021-05-10,12.709866128861904,10.971349941882977,13.05410840951726,12.324963815585864
2021-05-11,12.430442743003368,11.308294311224207,12.66705967291093,11.849791594374611
2021-05-12,12.06686112843454,11.571293347233395,12.545856636714747,11.868176215601911
2021-05-13,11.66479461453855,11.770847657746584,12.210026881732505,11.388901648549346
2021-05-14,11.9292669352144,11.555686690606006,12.1343228546209,11.508499299833122
2021-05-17,12.109500458464026,11.45653441142193,12.282566858650483,11.621527286871396
2021-05-18,12.174193432554604,11.327408664785006,12.350836057895751,11.921407552232877
2021-05-19,12.135384863242509,11.270969348527688,12.270578406185669,11.547793137295862
2021-05-20,11.896060531958938,11.190871416467118,12.086818847271582,11.571940982354809
2021-05-21,11.656820541247724,11.176989965525106,12.003974431257678,11.574765613545626
2021-05-24,11.078996901001249,11.205240020909509,11.39819189864322,10.9837693026722
2021-05-25,11.410385793074964,11.08212336985478,11.768918011827536,11.229264732109668
2021-05-26,12.06270470097661,11.122509534446392,12.166742541395118,11.378996612354133
2021-05-27,12.21569587662816,11.037906692164174,12.3274768137707,11.867864277602424
2021-05-28,12.160859590396283,11.040117820635672,12.53059256207004,12.025485140391693
2021-05-31,10.759565874934196,11.175111509763465,10.92804753682062,10.419349053677893
2021-06-01,12.47783870063722,11.032779658476397,12.623100152715075,12.162034369425593
2021-06-02,12.907577116042376,11.454009699925187,13.117534771475691,12.31343727063407
2021-06-03,13.161809463053942,11.309315555862081,13.431834270446036,12.580978900112244
2021-06-04,13.258503753691912,11.496175608591106,13.62106514279846,12.956731317432835
2021-06-07,13.361412083730102,11.791777961009783,13.638611371354168,12.926734273982571
2021-06-08,13.579453682526946,12.168611140692885,14.084516074288915,13.10617147310451
2021-06-09,13.219692014157772,12.425156896939207,13.830778739413775,12.956382132469985
2021-06-10,13.107405101880431,12.482167023257597,13.440381659099485,12.907645042219173
2021-06-11,12.88557586632669,12.538058828325777,13.357338189975406,12.658702280061412
2021-06-14,17.975682894388836,12.496525874060348,18.69175067125325,17.524875186155455
2021-06-15,12.50734912417829,13.658507433324797,13.007414040162857,12.352532013363064
2021-06-16,12.633125832304358,12.3581860169896,12.908994440409437,12.272012027787246
2021-06-17,12.379834419116378,13.333688383979448,12.808609394825014,12.173980765954646
2021-06-18,12.240560298785567,12.948119946668632,12.63594450217228,11.857043988559454
2021-06-21,12.306058576330544,12.571842699397175,12.478765275735585,11.980659626754472
2021-06-22,12.645929208025336,11.772939483307047,12.837795121051656,12.183825016006042
2021-06-23,12.803366651758552,11.7412732355216,12.997621654925826,12.501516779723875
2021-06-24,13.02937237918377,11.730033730023258,13.25866443272066,12.689137886267538
2021-06-25,13.01361812837422,11.84932993341907,13.203380147898134,12.740114852387045
2021-06-28,12.983259217813613,11.96515457511368,13.330493472974188,12.764202476180367
2021-06-29,13.026679011061788,12.11889337653704,13.247677474265618,12.78855968011018
2021-06-30,13.422855734825134,12.15407763095178,13.578922725508418,13.007646185812757
2021-07-01,13.289476599012104,12.27511504543517,13.792443334662948,13.11535362061144
2021-07-02,13.384444415569304,12.378408812363354,13.822340584503149,13.09848816693361
2021-07-05,11.120010871440172,12.442518657058748,11.232303644712095,10.61257931841634
2021-07-06,13.808536305092275,11.935613919322295,14.136141858697602,13.388517787510729
2021-07-07,14.201955020427704,12.561159308014487,14.509663020614964,13.27971760658723
2021-07-08,14.471789121627808,12.175993354492363,14.811925487586349,13.896704397720068
2021-07-09,15.103543996810911,12.419056179439634,15.254166367753047,14.335544731932233
2021-07-12,15.700443804264069,12.812615050113,16.053039723464778,15.030934508156292
2021-07-13,15.432064070366325,13.507131327876827,15.945258462248042,15.076113074412872
2021-07-14,14.92321890592575,13.782506034069579,15.783203281908047,14.718749206856174
2021-07-15,15.409241676330566,14.002844379680182,15.684946827785296,14.33225208937861
2021-07-16,15.212266101501882,14.131117642508167,16.010398831406587,14.990718912922386
2021-07-19,15.144550263881683,14.214410326745478,15.688750706120889,14.581756684857284
2021-07-20,15.345436096191406,14.021316555608886,15.682410075294191,14.656851246524296
2021-07-21,16.274834944866598,14.038121347950833,16.511151867588726,15.349961629745003
2021-07-22,16.44677595794201,14.224637766819978,16.848497580328424,15.99342459698504
2021-07-23,16.5775625705719,14.356547277086905,17.094580361924983,16.06414208528721
2021-07-26,16.964533492922783,14.5754523569539,17.22496829539533,16.059060877255114
2021-07-27,16.543300481513143,14.773514397604147,17.683534710748,15.990272906799438
2021-07-28,16.50961765833199,15.060942093043034,17.08708626194222,15.809026965787602
2021-07-29,17.458556696772575,15.11099672189377,17.643021728413803,16.673903076166084
2021-07-30,18.12575042247772,15.34112939542332,18.35375097163496,17.13424639430233
2021-08-02,18.53858688899449,15.385123348046758,19.409333586500463,17.83175905384913
2021-08-03,17.66263608634472,15.828830240220142,18.530994777289283,17.26314955361132
2021-08-04,18.14611993730068,15.871012230095193,18.55240624229316,17.045462917089658
2021-08-05,17.985752614215016,16.223658610719184,18.801452631949385,17.527791302803827
2021-08-06,18.382822081446648,16.329094147793636,19.14544674806354,17.840183764434897
2021-08-09,18.279655933380127,16.442725184197215,18.639364385536677,17.52774680250474
2021-08-10,18.06786285340786,16.253628625053757,18.806576188551052,17.521798805233647
2021-08-11,18.26136176288128,16.43495731581491,18.65154595002877,17.5966289674747
2021-08-12,18.04972730576992,16.444058164911226,18.55091524166725,17.671492029709537
2021-08-13,17.90867428481579,16.376926707969503,18.4895143504677,17.608484351072228
2021-08-16,16.589845092967153,16.292536382890784,17.39601201416388,16.495220041101987
2021-08-17,16.112268686294556,16.04515410699673,16.741805521131248,15.795668807964356
2021-08-18,16.267741918563843,15.76728717999649,16.62986673194385,15.81532632234888
2021-08-19,16.185740113258362,15.428075258912319,16.59624337183019,15.719342153069372
2021-08-20,16.232823147438467,14.983708663036401,16.715224290282542,15.731951088190325
2021-08-23,17.15157876908779,14.699764120154807,17.372810626000227,16.109633834124494
2021-08-24,17.388448687270284,14.805619179399333,17.96312607462206,16.96523398314514
2021-08-25,17.520067991688848,15.02562400901445,17.826547615197335,17.000729577371636
2021-08-26,17.460242841392756,15.20765044485952,18.147048097597505,17.055364344466742
2021-08-27,17.646335007622838,15.493227069794397,18.20652509731418,17.17741747425789
2021-08-30,18.364492969587445,15.742108962482572,18.68673212943494,17.45370752196275
2021-08-31,19.25506310537457,15.97146796682167,19.37078709323164,18.057566767745165
2021-09-01,18.357312012463808,16.146520608123154,19.975145715375184,18.00582428882295
2021-09-02,18.77885841205716,16.476095736409015,19.17966243778137,17.99540104227079
2021-09-03,18.190710296854377,16.71444669892999,19.105687949919595,17.645199459178514
2021-09-06,17.98710499703884,16.852224880034314,18.28136550750876,16.713100274983326
2021-09-07,19.116073301061988,16.68189916511901,19.455713014853323,18.13072606838484
2021-09-08,18.52949133887887,16.895505929113877,19.40737766999492,18.34720093577665
2021-09-09,19.06541107967496,16.654651229723775,19.233417016537423,18.214188003248747
2021-09-10,19.66189729049802,16.735346533346274,19.910452592848245,18.92018406934441
2021-09-13,19.617192747071385,16.962862039658983,20.30611865823188,18.991406437084382
2021-09-14,19.51135889068246,17.231179825132653,20.16755527432033,18.846404811103294
2021-09-15,19.546850476413965,17.37023600977809,20.15666028821581,19.117488984879845
2021-09-16,18.87804390862584,17.5638064905685,19.86566982671256,18.75947279600814
2021-09-17,18.190958950668573,17.586218747442214,19.16868617594796,17.61298913122338
2021-09-20,11.177966060737768,17.473668860607898,11.845079359528649,10.953723123189649
2021-09-21,11.230263076722622,15.713913831911764,11.579965060249696,10.96042099350166
2021-09-22,17.673100877553225,15.243643517702656,18.22198486196756,17.379714762255833
2021-09-23,17.83857094310224,14.976489160476,18.33788064405964,17.485518858998027
2021-09-24,17.679551042616367,13.607695776433784,18.646438498599576,17.29232311326465
2021-09-27,17.086987791582942,14.18691489092995,17.87838774557914,16.765904845968457
2021-09-28,16.665710285305977,15.273795524924703,17.102339710990595,16.291346505088363
2021-09-29,15.902883127331734,16.0146410802789,16.74773769412206,15.700873120276388
2021-09-30,16.44204754754901,15.740146128343527,16.71305397669496,15.942445084571984
2021-10-01,11.399255330363909,15.50163777722067,11.6095715181241,11.074552086239782
2021-10-04,11.14806927740574,14.068436462077521,11.529110890659574,11.067240597228349
2021-10-05,11.114886375765003,13.817207816250729,11.34204959719144,10.953712510973034
2021-10-06,10.859752667446932,12.601630234980114,11.118492050750136,10.601681838919715
2021-10-07,11.21654986590147,11.531520619890525,11.318614730008887,10.92333449703604
