Strategy,Cumulative Return (%),Annualized Sharpe Ratio
Scheme 1 (Naive Basic Directional),4602.751348973973,2.4488213999737374
Scheme 2' (Proposed Interval-Constrained with 0.05% Cost),-43.403713674334,-0.49360392480855614
