Stock,Date,Actual,ES,SVR,RF,ARIMA,BP,ELM,LSTM,VMD_LSTM,Proposed
EnergyFuels,2022-05-02,7.360000133514404,8.480000495910645,10.160711288452148,7.540999889373779,7.510000228881836,7.899398326873779,4.36760950088501,8.462211608886719,9.528109174221754,4.163978787139058
EnergyFuels,2022-05-03,7.539999961853027,8.480000495910645,10.425668716430664,7.603600025177002,7.510000228881836,7.902798175811768,3.473315477371216,7.762262344360352,9.347736056894064,3.5270571019500494
EnergyFuels,2022-05-04,7.710000038146973,8.480000495910645,9.453428268432617,7.6620001792907715,7.510000228881836,7.694121837615967,4.655396938323975,7.670660972595215,8.954363005235791,3.6075292080640793
EnergyFuels,2022-05-05,7.079999923706055,8.480000495910645,9.826654434204102,7.7505998611450195,7.510000228881836,8.04570198059082,4.913480281829834,8.136846542358398,8.836403064895421,3.3930882811546326
EnergyFuels,2022-05-06,6.909999847412109,8.480000495910645,10.556644439697266,7.055200099945068,7.510000228881836,7.885291576385498,5.730687141418457,7.892094612121582,9.219234589487314,3.0737395640462637
EnergyFuels,2022-05-09,5.860000133514404,8.480000495910645,10.578105926513672,6.829400062561035,7.510000228881836,7.8885979652404785,7.77126932144165,7.8473310470581055,9.197133637964725,2.7076356559991837
EnergyFuels,2022-05-10,5.820000171661377,8.480000495910645,10.46280288696289,6.168600082397461,7.510000228881836,7.624706745147705,0.6850810050964355,7.20466423034668,9.029887983575463,2.844185611233115
EnergyFuels,2022-05-11,5.46999979019165,8.480000495910645,9.533129692077637,6.072999954223633,7.510000228881836,7.342824935913086,2.7640044689178467,6.876859664916992,8.302754724398255,2.887506576254964
EnergyFuels,2022-05-12,5.239999771118164,8.480000495910645,10.042344093322754,5.415800094604492,7.510000228881836,7.342345714569092,5.231094837188721,7.009368896484375,8.290007526054978,2.029924500733614
EnergyFuels,2022-05-13,5.840000152587891,8.480000495910645,10.32404899597168,5.342800140380859,7.510000228881836,7.258840084075928,8.662639617919922,6.885923385620117,8.082739436998963,1.6038870811462402
EnergyFuels,2022-05-16,5.920000076293945,8.480000495910645,10.404132843017578,6.087800025939941,7.510000228881836,7.407343864440918,10.509181022644043,7.152639389038086,7.994488937780261,1.2496112398803234
EnergyFuels,2022-05-17,6.519999980926514,8.480000495910645,10.724231719970703,6.297399997711182,7.510000228881836,7.530478000640869,13.815464973449707,7.374372482299805,7.994843313936144,1.1422167718410492
EnergyFuels,2022-05-18,5.880000114440918,8.480000495910645,10.105140686035156,6.712200164794922,7.510000228881836,7.576000690460205,12.012992858886719,7.463876724243164,7.939184338320047,1.6048069037497044
